0,1,2,grammared,tled,time
000000061658.jpg,จานสีขาวที่เต็มไปด้วยบร็อกโคลีและผักอื่น ๆ ,a white plate filled with broccoli and other vegetables ,,,0.0
000000082085.jpg,คนที่ยืนอยู่บนเวทีข้างรถไฟ,people standing on a platform next to a train ,คนที่ยืนอยู่บนเวทีข้างรถไฟ,คนยืนอยู่บนแพลตฟอร์มถัดจากรถไฟ,2.033660888671875
000000488385.jpg,รถมอเตอร์ไซค์ที่จอดอยู่หน้าอาคาร,a motorcycle parked in front of a building ,,,0.0
000000396518.jpg,คนในเรือที่มีร่มอยู่บนแม่น้ํา,a man in a boat with an umbrella on a river ,คนบนเรือที่มีร่มอยู่บนแม่น้ำ,ชายคนหนึ่งนั่งเรือพร้อมร่มในแม่น้ำ,1.9801998138427734
000000473121.jpg,ชายที่ตกท่าท่าท่าหิมะกับนักท่าท่าท่าอื่นๆ,a man skiing down a snow covered slope with other skiers ,,,0.0
000000283268.jpg,เด็กน้อยกําลังกินฮอตด็อกกับเคชัป,a small child is eating a hot dog with ketchup ,เด็กน้อยกำลังกินฮอตด็อกกับเคชัป,เด็กเล็กกำลังกินฮอทดอกใส่เครื่องปรุงรส,2.046628475189209
000000403385.jpg,ห้องน้ํา พร้อมห้องน้ํา สระน้ํา และตู้อาบน้ํา,"a bathroom with a toilet, sink, and shower stall ",,,0.0
000000552775.jpg,ผู้ชายที่ยืนอยู่หน้าเตาในครัว,a man standing in front of a stove in a kitchen ,ผู้ชายที่ยืนอยู่หน้าเตาในครัว,ชายคนหนึ่งยืนอยู่ก่อนเตาในห้องครัว,2.1188607215881348
000000007088.jpg,สาวน้อยที่ถือร่มอยู่บนทางเดิน,a young girl holding an umbrella on a sidewalk ,,,0.0
000000384850.jpg,ห้องน้ําที่มีผ้าม่านอาบน้ําและห้องน้ํา,a bathroom with a shower curtain and a toilet ,ห้องน้ำมีผ้าม่านอาบน้ำและห้องน้ำ,ห้องน้ำที่มีผ้าคลุมห้องอาบน้ำและโถสุขภัณฑ์,2.2693443298339844
000000419098.jpg,สายร่มสีชมพูและสีส้ม,a row of pink and orange umbrellas ,,,0.0
000000311180.jpg,คนที่ถือข้อมือข้างหน้าโรงงาน,a person holding a pair of scissors in front of a plant ,คนที่ถือข้อมือข้างหน้าโรงงาน,คนถือกรรไกรอยู่ก่อนต้นไม้,1.8506503105163574
000000565989.jpg,นาฬิกาที่ติดอยู่ด้านข้างของอาคาร มีนกอยู่บนมัน,a clock mounted to the side of a building with a bunch of birds on top of it ,,,0.0
000000424135.jpg,นาฬิกาขนาดใหญ่ที่ด้านหลังของอาคาร,a large clock on the side of the building ,,,0.0
000000507797.jpg,กลุ่มใหญ่ของผู้คนยืนอยู่รอบรถบัส,a large group of people standing around a bus ,,,0.0
000000189698.jpg,สัญลักษณ์ทางถนนที่มุมถนน,a street sign on the corner of a street ,สัญลักษณ์ทางถนนที่มุมถนน,สัญญาณไฟจราจรอยู่ที่มุมถนน,1.7283861637115479
000000051008.jpg,แมวที่นอนบนคอมพิวเตอร์แล็ปท็อป,a cat that is laying down on a laptop ,,,0.0
000000243495.jpg,ห้องน้ําสีขาว ที่นั่งอยู่ข้างถ้วยน้ําในห้องน้ํา,a white toilet sitting next to a sink in a bathroom ,ห้องน้ำสีขาว ที่นั่งอยู่ข้างถ้วยน้ำในห้องน้ำ,โถสุขภัณฑ์สีขาวนั่งอยู่ถัดจากอ่างอาบน้ำในห้องน้ำ,2.877270221710205
000000468233.jpg,นาฬิกาที่นั่งบนโต๊ะ,a clock sitting on top of a desk ,,,0.0
000000442323.jpg,ห้องนอนที่มีเสื้อผ้าและโทรทัศน์,a bedroom with a dresser and a television ,,,0.0
000000214753.jpg,มีคน 2 คน ขี่ม้าอยู่บนชายหาด,two people are riding horses on the beach ,,,0.0
000000341719.jpg,คนที่นั่งสกียืนอยู่บนเนินเขาที่หิมะปกคลุม,people on skis standing on top of a snow covered slope ,คนที่นั่งสกียืนอยู่บนเนินเขาที่หิมะปกคลุม,คนเล่นสกียืนอยู่บนยอดเขาหิมะปกคลุม,2.241529703140259
000000541055.jpg,นักสกีสามคน โพสเพื่อถ่ายรูปบนภูเขา,three skiers posing for a picture on a mountain ,,,0.0
000000568814.jpg,ชายมีศีรษะใส่เกียรติเกียรติเกียรติเกียรติเกียรติเกียรติเก,a man with a beard wearing a tie ,,,0.0
000000180560.jpg,ผู้หญิงที่ถือเทียนอยู่หน้าเค้ก,a woman holding a candle in front of a cake ,,,0.0
000000459467.jpg,เที่ยวบินเล็ก ๆ น้อย ๆ ที่จอดอยู่บนถนนบิน,a small plane is parked on the runway ,เที่ยวบินเล็ก ๆ น้อย ๆ ที่จอดอยู่บนถนนบิน,เครื่องบินขนาดเล็กจอดอยู่บนทางวิ่ง,2.2498178482055664
000000005600.jpg,ถ้วยอาหารบนโต๊ะ,a bowl of food on a table ,,,0.0
000000290592.jpg,กลุ่มแกะที่ยืนอยู่ในพื้นที่ที่กําแพง,a herd of sheep standing in a fenced in area ,กลุ่มแกะยืนอยู่ในพื้นที่ที่กำแพงล้อมรอบ,กลุ่มแกะยืนอยู่ในพื้นที่ป้องกัน,2.0756173133850098
000000472678.jpg,โต๊ะทํางานของคอมพิวเตอร์ที่มีจอสองตัว และคอมพิวเตอร์เล็ตป๊อต,a computer desk with two monitors and a laptop ,,,0.0
000000471869.jpg,หมีเท๊ดี้สีน้ําตาล ที่นั่งบนผ้าห่มสีฟ้า,a brown teddy bear sitting on a blue blanket ,หมีสีน้ำตาลนั่งอยู่บนผ้าห่มสีฟ้า,หมีน้อยสีน้ำตาลนอนบนผ้าห่มสีฟ้า,2.2734522819519043
000000056350.jpg,ชายที่นอนอยู่บนพื้นข้างๆผู้หญิงในห้องน้ํา,a man laying on the floor next to a woman in a bathroom ,,,0.0
000000239537.jpg,ชายที่โยนลูกเทนนิสที่บอล,a man swinging a tennis racquet at a ball ,ชายคนนั้นโยนลูกเทนนิสที่บอล,ชายคนหนึ่งกระโดดไม้ตีลูกบอล,1.8206980228424072
000000552842.jpg,นักเตะเบสบอลที่โยนลูกเบสบอลในสนาม,a baseball player pitching a baseball on a field ,,,0.0
000000356248.jpg,เด็กชายเล็ก ๆ น้อย ๆ ที่นั่งที่โต๊ะกับเด็กผู้หญิงเล็ก ๆ น้อย ๆ น้อย ๆ ,a little boy sitting at a table with a little girl ,เด็กชายเล็ก ๆ น้อย ๆ นั่งอยู่ที่โต๊ะกับเด็กผู้หญิงเล็ก ๆ น้อย ๆ,เด็กผู้ชายนั่งอยู่ที่โต๊ะกับเด็กผู้หญิง,3.3790063858032227
000000033368.jpg,ชายที่ถือกระสุนเทนนิสอยู่บนสนามกีฬา,a man holding a tennis racquet on a court ,,,0.0
000000329323.jpg,กลุ่มคนยืนอยู่รอบๆโต๊ะที่มีอาหารอยู่บนโต๊ะ,a crowd of people standing around a table with food on it ,,,0.0
000000358525.jpg,เด็กชายหนุ่มที่นั่งบนเตียง ใช้คอมพิวเตอร์เล็ปท็อป,a young boy sitting on a bed using a laptop computer ,,,0.0
000000154644.jpg,ผู้หญิงที่ถือโทรศัพท์มือถือขึ้นไปบนใบหน้า,a woman holding a cell phone up to her face ,ผู้หญิงที่ถือโทรศัพท์มือถือขึ้นไปบนใบหน้า,ผู้หญิงคนหนึ่งถือโทรศัพท์ไว้หน้าผาก,2.6330745220184326
000000404678.jpg,ครอบครัวที่นั่งอยู่บนโต๊ะกินอาหาร,a family sitting at a table eating food ,,,0.0
000000452784.jpg,คนที่ตัดบร็อกโคลีในจาน,a person cutting broccoli in a bowl ,คนที่ตัดบร็อกโคลีในจาน,คนคนหนึ่งกำลังตัดบรอกโคลีในชาม,1.6552789211273191
000000146155.jpg,ชายที่ถือแก้วไวน์อยู่หน้าบาร์,a man holding a glass of wine in front of a bar ,,,0.0
000000402720.jpg,สามคนนั่งอยู่บนโต๊ะ พร้อมกับจานอาหาร,three men sitting at a table with a plate of food ,สามคนนั่งอยู่บนโต๊ะ พร้อมกับจานอาหาร,สามคนนั่งที่โต๊ะกับอาหาร,2.1232309341430664
000000255664.jpg,สุนัขจับฟริสบีในปากของเขา,a dog catching a frisbee in its mouth ,,,0.0
000000561009.jpg,นกที่อยู่บนกิ่งไม้,a bird perched on a tree branch ,นกบนกิ่งไม้,นกตื่นอยู่บนยอดไม้,1.2732205390930176
000000377497.jpg,ม้าสีขาวและสีน้ําตาลยืนอยู่ข้างๆรั้ว,a white and brown horse standing next to a fence ,,,0.0
000000286849.jpg,แกะจิราฟยืนอยู่ข้างๆผนังหิน,a herd of giraffes standing next to a rock wall ,แกะยืนอยู่ข้างๆผนังหิน,กลุ่มยีราฟที่ยืนอยู่ติดกับผนังหิน,1.8577721118927
000000024021.jpg,กลุ่มคนจํานวนมาก ที่นั่งบนหลังคาอาคารอิฐ,a large group of people sitting on top of a brick building ,,,0.0
000000018833.jpg,แมวที่นอนอยู่บนรองเท้ากีฬา,a cat laying on top of a pair of sneakers ,แมวนอนอยู่บนรองเท้ากีฬา,แมวนอนอยู่บนหลังรองเท้าแตะ,1.491133451461792
000000393838.jpg,หม้อที่เต็มไปด้วยกุหลาบและกระเทียมบนเตา,a pot filled with carrots and onions on a stove top ,,,0.0
000000439426.jpg,คนที่ถือดอนเน็ตไว้ในมือ,a person holding a doughnut in their hand ,คนที่ถือดอนเน็ตไว้ในมือ,คนคนหนึ่งถือโดนัทในมือของพวกเขา,1.7267777919769287
000000175438.jpg,นาฬิกาบนเสา บนถนน,a clock on a pole on a street ,,,0.0
000000232646.jpg,สัญลักษณ์หยุดทางข้างถนนที่ครอบคลุมกับหิมะ,a stop sign on the side of a snow covered road ,สัญลักษณ์หยุดทางข้างถนนที่ครอบคลุมด้วยหิมะ,ป้ายหยุดรถบนข้างถนนที่ปกคลุมด้วยหิมะ,2.2693264484405518
000000275791.jpg,สองรถไฟที่จอดอยู่ข้างๆกัน บนสะพาน,two trains parked next to each other on a bridge ,,,0.0
000000569030.jpg,อุปกรณ์ไฟฟ้าในถนนเมือง,a fire hydrant on a city street ,,,0.0
000000411665.jpg,แมวดูตัวเองในกระจก,a cat is looking at itself in a mirror ,,,0.0
000000052996.jpg,คนในครัว เตรียมอาหาร,people in a kitchen preparing food ,คนในครัวเตรียมอาหาร,คนในห้องครัวเตรียมอาหาร,1.4869568347930908
000000267946.jpg,สัญลักษณ์ถนนสีฟ้าและสีขาวบนเสา,a blue and white street sign on a pole ,,,0.0
000000102820.jpg,เด็กผู้หญิงคนหนึ่งนั่งบนเตียงไม้,a little girl sitting on top of a wooden bench ,เด็กผู้หญิงคนหนึ่งนั่งบนเตียงไม้,เด็กหญิงนั่งอยู่บนที่นั่งไม้,1.906001091003418
000000082765.jpg,คนที่นอนบนเตียง อ่านหนังสือ,a person laying on a bed reading a book ,,,0.0
000000376856.jpg,อาคารอิฐสูงที่มีหอนาฬิกา,a tall brick building with a clock tower ,,,0.0
000000091921.jpg,เซเบร่ายืนอยู่ข้างๆ เซเบร่าที่นอนอยู่,a zebra standing next to a zebra laying down ,,,0.0
000000124659.jpg,ห้องนั่งเล่นที่เต็มไปด้วยเฟอร์นิเจอร์และกระเป๋าเดินทางสีแดง,a living room filled with furniture and a red suitcase ,ห้องนั่งเล่นที่เต็มไปด้วยเฟอร์นิเจอร์และกระเป๋าเดินทางสีแดง,ห้องนั่งเล่นเต็มไปด้วยเฟอร์นิเจอร์และกระเป๋าสีแดง,3.2244713306427
000000522889.jpg,นักเตะเทนนิสหญิงที่กําลังดําเนินการในสนาม,a female tennis player in action on the court ,,,0.0
000000227765.jpg,หม้ออาหารถูกปรุงบนเตา,a pot of food is being cooked on a stove ,หม้ออาหารถูกปรุงบนเตา,มีอาหารที่กำลังทำอยู่ในหม้อบนเตา,1.5595035552978516
000000218424.jpg,แกะเจเบร่าที่ยืนอยู่บนสนามที่ครอบคลุมกับหญ้า,a herd of zebra standing on top of a grass covered field ,,,0.0
000000322864.jpg,สัญลักษณ์ถนนบนเสาที่มีรถยนต์,a street sign on a pole with cars ,สัญลักษณ์ถนนบนเสาที่มีรถยนต์,ป้ายห้างสรรพสินค้าอยู่บนเสา,1.8544929027557373
000000486438.jpg,โดนัทอยู่บนโต๊ะ,doughnuts are sitting on a table ,,,0.0
000000195842.jpg,คนที่ยืนอยู่ในห้องนั่งเล่น เล่นเกมวีดีโอ,a person standing in a living room playing a video game ,คนที่ยืนอยู่ในห้องนั่งเล่น เล่นวิดีโอเกม,คนคนหนึ่งยืนอยู่ในห้องนั่งเล่นวิดีโอเกม,2.2710063457489014
000000039484.jpg,ถนนเมืองที่เต็มไปด้วยรถยนต์และรถบรรทุก,a city street filled with cars and trucks ,,,0.0
000000083540.jpg,คนขับรถสกีบนพื้นที่ที่ครอบคลุมด้วยหิมะ,a person riding skis on top of a snow covered ground ,คนขับรถสกีบนพื้นที่ที่ครอบคลุมด้วยหิมะ,บุคคลที่ขี่สกีบนพื้นหิมะ,2.0501766204833984
000000278973.jpg,ผู้หญิงขับคลื่นบนกระดานเซิร์ฟ,a woman riding a wave on a surfboard ,,,0.0
000000403565.jpg,ชายขับรถจักรยานลงถนนที่ดิน,a man riding a bike down a dirt road ,ชายคนหนึ่งขับจักรยานลงถนนที่ดิน,ชายคนหนึ่งกำลังขี่จักรยานไปตามถนนดิน,2.4403750896453857
000000518213.jpg,หัวสีน้ําตาลใหญ่ที่ยืนอยู่บนสนามหญ้า,a large brown cow standing in a grassy field ,,,0.0
000000301718.jpg,ผู้ชายและหญิงที่นั่งบนโต๊ะที่มีจานอาหารและไวน์,a man and woman sitting at a table with plates of food and wine ,ผู้ชายและหญิงที่นั่งบนโต๊ะที่มีจานอาหารและไวน์,ผู้ชายและผู้หญิงนั่งอยู่ที่โต๊ะกับจานอาหารและไวน์,2.8005263805389404
000000297595.jpg,คนที่นั่งบอร์ดเซอร์ฟบนคลื่น,a person riding a surfboard on top of a wave ,,,0.0
000000484296.jpg,เซบราที่ยืนอยู่ข้างหน้า เซบราอีกตัวหนึ่งในป่า,a zebra standing next to another zebra in a forest ,เซบราที่ยืนอยู่ข้างหน้า เซบราอีกตัวหนึ่งในป่า,เสือชีต้าสองตัวยืนอยู่ในป่า,2.611867666244507
000000125806.jpg,หัวดําสองตัวยืนอยู่ข้างๆกัน,two black cows standing next to each other ,,,0.0
000000133645.jpg,เรือที่นั่งบนท่าเรือใกล้ทะเลสาบ,a boat sitting on a dock near a lake ,เรือที่นั่งบนท่าเรือใกล้ทะเลสาบ,เรือนั่งอยู่บนท่าเรือใกล้ทะเลสาบ,1.9258036613464355
000000268000.jpg,รถไฟที่ลุกเข้าสถานีรถไฟ,a train pulling into a train station ,,,0.0
000000027982.jpg,ห้องน้ําสีขาว ที่นั่งอยู่ข้างถ้วยน้ําในห้องน้ํา,a white toilet sitting next to a sink in a bathroom ,ห้องน้ำสีขาว ที่นั่งอยู่ข้างถ้วยน้ำในห้องน้ำ,โถสุขภัณฑ์สีขาวนั่งอยู่ถัดจากอ่างอาบน้ำในห้องน้ำ,2.878124713897705
000000380706.jpg,ชายขับรถจักรยานลงถนน,a man riding a bike down a street ,,,0.0
000000455716.jpg,รถมอเตอร์ไซค์ที่จอดอยู่ข้างๆกลุ่มคน,a motorcycle parked next to a group of people ,รถมอเตอร์ไซค์ที่จอดอยู่ข้างๆกลุ่มคน,รถมอเตอร์ไซค์จอดอยู่ใกล้กลุ่มคน,2.383077621459961
000000111951.jpg,"ห้องน้ํา พร้อมถ้วยน้ํา, ห้องน้ําและถ้วยน้ํา","a bathroom with a sink, toilet and bathtub ",,,0.0
000000382696.jpg,ห้องครัว พร้อมตู้เย็น หม้อเตา น้ําซักรีด และกระเป๋าตู้,"a kitchen with a refrigerator, stove, sink, and cabinets ",ห้องครัวมีตู้เย็น หม้อเตา น้ําซักรีด และกระเป๋าตู้,"ห้องครัวที่มีตู้เย็น, เตา, อ่างล้างจาน, และตู้เสื้อผ้า",3.0513336658477783
000000076261.jpg,สองนกที่บินบนท้องฟ้าเหนือภูเขา,two birds flying in the sky over a mountain range ,,,0.0
000000553511.jpg,ถนนเมืองที่เต็มไปด้วยรถยนต์และอาคาร,a city street filled with cars and buildings ,ถนนในเมืองที่เต็มไปด้วยรถยนต์และอาคาร,ถนนในเมืองเต็มไปด้วยรถยนต์และอาคาร,2.3568906784057617
000000472375.jpg,สุนัขที่นอนบนพื้นข้างๆ รถมอเตอร์ไซค์,a dog laying on the floor next to a motorcycle ,,,0.0
000000442456.jpg,ผู้ชายที่ยืนอยู่ข้างรถบรรทุกขาว,a man standing next to a white truck ,ผู้ชายที่ยืนอยู่ข้างรถบรรทุกขาว,ชายคนหนึ่งยืนอยู่ข้างรถบรรทุกสีขาว,2.21808123588562
000000052007.jpg,รถบัส 2 ชั้น ที่จอดอยู่ข้างถนน,a double decker bus parked on the side of a street ,,,0.0
000000507473.jpg,ผู้หญิงที่แปรงฟันด้วยแปรงฟันสีเขียว,a woman brushing her teeth with a green toothbrush ,ผู้หญิงคนนั้นแปรงฟันด้วยแปรงสีเขียว,หญิงสาวแปรงฟันด้วยแปรงสีเขียว,2.2701869010925293
000000243626.jpg,จานอาหารที่มีเนื้อและผัก,a plate of food with meat and vegetables ,,,0.0
000000464872.jpg,เซเบร่าที่ยืนอยู่บนสนามหญ้า,a zebra standing in a grassy field ,เซเบร่ายืนอยู่บนสนามหญ้า,ม้าลายยืนอยู่ในทุ่งหญ้า,1.60841703414917
000000316404.jpg,ชายสองคนยืนอยู่ข้างๆกัน จับลูกเทนนิส,two men standing next to each other holding tennis rackets ,,,0.0
000000073702.jpg,คนที่มีร่มยืนอยู่ใกล้รถบัส,people with umbrellas standing near a bus ,คนที่มีร่มยืนอยู่ใกล้รถบัส,คนที่มีร่มยืนอยู่ใกล้รถบัส,2.038853883743286
000000281754.jpg,ผู้หญิงและเด็กถือร่ม,a woman and a child holding an umbrella ,,,0.0
000000300913.jpg,แมวสีขาวและสีดําที่นอนบนผ้าห่ม,a white and black cat laying on a blanket ,แมวสีขาวและสีดํานอนอยู่บนผ้าห่ม,แมวสีขาวดำนอนบนผ้าห่ม,1.7144064903259275
000000062808.jpg,ผู้ชายคนหนึ่งกําลังถ่ายรูปของปิซซ่า,a man is taking a picture of a pizza ,,,0.0
000000525322.jpg,สองเครื่องบินบินบินในอากาศ พร้อมกับควันออกมาจากพวกมัน,two planes flying in the air with smoke coming out of them ,เครื่องบินสองลำบินผ่านอากาศ พร้อมกับควันออกมาจากพวกมัน,สองเครื่องบินบินอยู่ในอากาศและมีควันออกมาจากเครื่องบิน,2.947798490524292
000000108026.jpg,คนที่ใช้คีย์บอร์ดคอมพิวเตอร์บนโต๊ะทํางาน,a person using a computer keyboard on a desk ,,,0.0
000000157418.jpg,จานสีขาวที่มีแซนวิชและจานของชิป,a white plate topped with a sandwich and a bowl of chips ,จานสีขาวมีแซนวิชและชิป,จานขาวที่มีแซนด์วิชและชิป,1.8381190299987793
000000230983.jpg,คนที่กระโดดบนแผ่นกระโดดบนทางเดิน,a person jumping a skate board on a sidewalk ,,,0.0
000000521231.jpg,หมีเหลืองสีขาวยืนอยู่บนก้อนหิน,a white polar bear standing on top of a rock ,หมีเหลืองสีขาวยืนอยู่บนก้อนหิน,หมีขั้วโลกสีขาวยืนอยู่บนหิ้ง,1.7265844345092771
000000132931.jpg,นักพนันเบสบอลที่ยืนอยู่บนสนามเบสบอล,a baseball player standing on a baseball field ,,,0.0
000000074092.jpg,ผู้หญิงที่กระโดดขึ้นไปตีบอลเทนนิสด้วยราเค็ต,a woman jumping up to hit a tennis ball with a racquet ,ผู้หญิงคนนั้นกระโดดขึ้นไปตีบอลเทนนิสด้วยราเค็ต,หญิงสาวกระโดดขึ้นมาตีลูกเทนนิสด้วยไม้ตี,2.7500715255737305
000000027696.jpg,พิซซ่าบนจานสีขาวบนโต๊ะไม้,a pizza on a white plate on a wooden table ,,,0.0
000000026465.jpg,คอมพิวเตอร์เล็ปท็อป ที่นั่งบนโต๊ะข้างเคียงโทรศัพท์มือถือ ,a laptop computer sitting on top of a table next to a cell phone ,คอมพิวเตอร์เล็ปท็อป ที่นั่งบนโต๊ะข้างเคียงโทรศัพท์มือถือ,แล็ปท็อปคอมพิวเตอร์นั่งอยู่บนโต๊ะข้างเคาน์เตอร์โทรศัพท์มือถือ,3.169381856918335
000000047121.jpg,แมวดําที่ดื่มน้ําจากถ้วยน้ําขาว,a black cat drinking water from a white sink ,,,0.0
000000121153.jpg,สัญลักษณ์ถนนบนเสาหน้าภูเขา,a street sign on a pole in front of a mountain ,,,0.0
000000194471.jpg,ชายหนุ่มขับรถสเกตบอร์ดบนระเบียง,a young man riding a skateboard on top of a ramp ,,,0.0
000000453722.jpg,ห้องนั่งเล่น พร้อมเตาเผาและทีวี ,a living room with a fire place and a tv ,ห้องนั่งเล่นมีเตาเผาและทีวี,ห้องนั่งเล่นที่มีเตาผิงและทีวี,1.9278593063354488
000000167540.jpg,เครื่องบินเลื่อนเล็ก ๆ น้อย ๆ ที่บินผ่านท้องฟ้าสีฟ้า,a small propeller plane flying through a blue sky ,,,0.0
000000252559.jpg,ผู้คนเดินตามถนนข้างๆ อาคารอิฐสูง,people walking down a street next to a tall brick building ,ผู้คนเดินตามถนนข้างๆ อาคารอิฐสูง,คนเดินไปตามถนนข้างอาคารอิฐสูง,2.5020337104797363
000000279927.jpg,กลุ่มใหญ่ของผู้คนยืนอยู่บนชายหาดพร้อมกับร่ม,a large group of people standing on a beach with umbrellas ,,,0.0
000000135670.jpg,รถจักรยานที่มุ่งมั่นกับผนังข้างถนน รถไฟ,a bike leaning against a wall next to a train ,รถจักรยานที่มุ่งมั่นกับผนังข้างถนน รถไฟ,จักรยานวางอยู่ตรงผนัง ใกล้กับรถไฟ,2.4175984859466553
000000344100.jpg,แซนวิชและกาแฟบนโต๊ะไม้,a sandwich and a cup of coffee on a wooden table ,,,0.0
000000477623.jpg,รถไฟที่นั่งบนรถไฟฟ้า,a train that is sitting on the tracks ,รถไฟที่นั่งบนรถไฟฟ้า,รถไฟที่นั่งอยู่บนเส้นทาง,1.7244062423706057
000000314264.jpg,ชายที่ถือถังที่เต็มไปด้วยดอกไม้,a man holding up a vase filled with flowers ,,,0.0
000000025181.jpg,สถานีรถไฟ พร้อมรถไฟที่จอดอยู่บนระเบียง,a train station with a train parked at the platform ,สถานีรถไฟ พร้อมรถไฟที่จอดอยู่บนระเบียง,สถานีรถไฟที่มีรถไฟจอดอยู่ที่แพลตฟอร์ม,2.5074455738067627
000000470924.jpg,กลุ่มคนจํานวนมาก ที่นั่งอยู่บนโต๊ะพร้อมกับอาหาร,a large group of people sitting at a table with food ,,,0.0
000000146825.jpg,รถไฟสีแดงและสีเหลือง บนเส้นทางใกล้อาคาร,a red and yellow train on tracks near a building ,รถไฟสีแดงและสีเหลืองอยู่บนเส้นทางใกล้อาคาร,รถไฟสีแดงและสีเหลืองอยู่บนเส้นทางใกล้กับอาคาร,2.695627927780152
000000106048.jpg,รถบัสสีขาวขนาดใหญ่ ที่จอดอยู่หน้าอาคาร,a large white bus parked in front of a building ,,,0.0
000000415882.jpg,เด็กผู้หญิงที่นั่งบนโซฟาข้างหน้าไฟ,a little girl sitting on a couch next to a lamp ,เด็กผู้หญิงที่นั่งบนโซฟาข้างหน้าไฟ,เด็กหญิงนั่งบนโซฟาใกล้กับโคมไฟ,2.290926933288574
000000365642.jpg,ผู้หญิงที่นั่งบนถนนเมือง,a woman sitting on a city street with her legs crossed ,,,0.0
000000319534.jpg,ชายที่ยืนอยู่หน้ารถบัส,a man standing in front of a bus ,ชายคนนั้นยืนอยู่หน้ารถบัส,ชายคนหนึ่งยืนอยู่ข้างหน้ารถบัส,1.841559648513794
000000173057.jpg,ตึกนาฬิกาหน้าสถานีรถไฟ,a clock tower in front of a train station ,,,0.0
000000097278.jpg,ชายขับรถบนแผ่นสโนว์บอร์ดลงทางคลองที่ครอบคลุมด้วยหิมะ,a man riding a snowboard down a snow covered slope ,ชายคนนั้นขับรถบนสโนว์บอร์ดลงทางคลองที่ครอบคลุมด้วยหิมะ,ชายคนหนึ่งกำลังขี่สโนว์บอร์ดลงเขาหิมะ,2.877690076828003
000000313454.jpg,ผู้ชายในชุดพูดบนเวที,a man in a suit speaking at a podium ,,,0.0
000000321557.jpg,รถมอเตอร์ไซค์สีดําที่จอดอยู่ด้านหลังอาคารอิฐ,a black motorcycle parked on the side of a brick building ,รถมอเตอร์ไซค์สีดําจอดอยู่ด้านหลังอาคารอิฐ,มอเตอร์ไซค์สีดำจอดอยู่ข้างๆอาคารอิฐ,2.5127828121185303
000000166426.jpg,จานอาหารบนโต๊ะไม้,a plate of food on a wooden table ,,,0.0
000000345466.jpg,นักพนันเบสบอลที่โยนบอลบนสนามกีฬา,a baseball player pitching a ball on a field ,นักพนันเบสบอลโยนบอลบนสนามกีฬา,นักกีฬาเล่นเบสบอลโยนลูกบอลในสนาม,1.8797531127929688
000000468925.jpg,จานสีขาวที่ครอบคลุมด้วยอาหารเช้าหลากหลายชนิด,a white plate topped with a bunch of different types of breakfast foods ,,,0.0
000000289992.jpg,ห้องน้ําที่มีน้ําอาบน้ํา สระว่ายน้ํา และห้องน้ํา,"a bathroom with a shower, sink, and toilet ",ห้องน้ำมีน้ำอาบน้ำ สระว่ายน้ำ และห้องน้ำ,ห้องน้ำที่มีอ่างอาบน้ำ อ่างล้างหน้า และโถสุขภัณฑ์,2.5645556449890137
000000340894.jpg,โต๊ะทํางานที่มีคอมพิวเตอร์ 2 เครื่อง และคีย์บอร์ดและหนู,a desk with two computers and a keyboard and mouse ,,,0.0
000000323263.jpg,ผู้ชายที่ยืนอยู่ข้างๆผู้หญิงที่มุมถนน,a man standing next to a woman on a street corner ,ผู้ชายที่ยืนอยู่ข้างผู้หญิงที่มุมถนน,ชายคนหนึ่งยืนอยู่ถัดจากผู้หญิงคนหนึ่งที่มุมถนน,2.8665215969085693
000000165039.jpg,รถบัสเมืองที่ขับรถลงถนนเมือง,a city bus driving down a city street ,,,0.0
000000084170.jpg,รถบัสขับรถลงถนนชื้นข้างถนน,a bus driving down a wet road next to a street ,รถบัสขับรถลงถนนชื้นข้างถนน,รถบัสขับผ่านถนนที่เปียกน้ำซึ่งอยู่ข้างถนน,2.5045042037963867
000000449579.jpg,นักเตะเทนนิสหญิงที่กําลังดําเนินการในสนาม,a female tennis player in action on the court ,,,0.0
000000226984.jpg,"ห้องครัวที่มีเตา, เครื่องเย็น, เครื่องล้างจาน และเครื่องซักจาน ","a kitchen with a stove, refrigerator, sink, and dishwasher ",ห้องครัวมีเตา เครื่องเย็น เครื่องล้างจาน และเครื่องซักจาน,ห้องครัวที่มีเตา ตู้เย็น อ่างล้างจาน และเครื่องล้างจาน,3.2353312969207764
000000309467.jpg,สองคนนั่งสกียืนอยู่บนเนินเขา,two people on skis standing on top of a slope ,,,0.0
000000241677.jpg,กลุ่มแกะเดินตามถนนที่ดินข้างๆผนังหิน,a herd of sheep walking down a dirt road next to a stone wall ,กลุ่มแกะเดินตามถนนที่ดินข้างผนังหิน,กลุ่มแกะกลุ่มหนึ่งกำลังเดินไปตามถนนดินใกล้กับกำแพงหิน,2.67493224143982
000000567640.jpg,ชายหนุ่มที่เล่นฟุตบอลในสนามกีฬา,young men playing soccer on a field ,,,0.0
000000161642.jpg,นาฬิกาที่แขวนอยู่บนผนัง,a clock that is hanging on a wall ,,,0.0
000000515025.jpg,ผู้ชายที่ยืนอยู่ข้างๆแมวบนโต๊ะ,a man standing next to a cat on a table ,,,0.0
